From	To	Enzyme
1	2	1
3	2	2
4	2	2
5	2	2
6	9	3
7	9	3
8	9	3
10	6	3
11	6	3
12	6	3
13	12	3
14	12	3
15	14	3
16	18	4
17	18	4
18	19	1
18	20	5
21	22	6
20	23	1
19	23	5
21	24	1
18	25	7
19	26	7
25	26	1
25	27	5
27	28	1
26	28	5
29	30	1
28	30	8
27	29	8
31	32	1
28	32	5
33	32	5
34	35	1
32	35	8
30	35	5
36	37	1
38	37	9
39	37	9
25	40	10
26	41	10
40	41	1
40	42	5
43	44	1
41	44	5
43	45	8
42	47	5
46	47	5
47	48	1
49	48	5
50	48	5
51	52	1
53	52	8
54	52	5
55	56	1
48	56	8
57	56	5
47	55	8
58	55	5
59	60	1
61	60	8
56	60	5
62	60	5
63	64	8
65	64	5
66	64	5
41	67	11
68	67	10
69	67	1
70	53	1
71	53	5
72	53	5
73	74	1
52	74	8
75	74	8
76	77	1
78	77	5
53	77	5
79	77	5
80	81	1
77	81	8
82	81	5
52	81	5
76	80	8
83	80	5
51	80	5
80	85	8
84	85	8
73	85	5
86	87	1
88	87	5
77	87	5
89	87	5
90	87	5
91	92	1
87	92	8
93	92	5
81	92	5
94	92	5
95	96	1
92	96	8
97	96	8
98	96	5
99	96	5
100	101	1
102	101	8
96	101	8
103	101	8
104	101	5
105	106	1
107	106	8
108	106	8
101	106	8
109	106	8
86	110	8
111	110	5
112	110	5
113	110	5
110	115	8
114	115	8
116	115	5
117	115	5
118	120	8
119	120	8
115	120	8
121	120	5
122	1	2
123	1	2
124	1	2
122	3	1
125	3	6
126	3	2
127	3	2
123	4	1
128	4	6
126	4	2
129	4	2
124	5	1
130	5	6
127	5	2
129	5	2
11	7	3
131	7	3
12	8	3
131	8	3
132	10	3
13	10	3
132	11	3
14	11	3
15	13	3
21	16	4
21	17	4
9	21	12
27	31	5
133	31	5
23	33	7
133	33	1
26	33	5
31	34	8
29	34	5
134	36	9
135	36	9
134	38	1
136	38	5
32	38	9
135	39	1
137	39	5
32	39	9
40	43	5
40	46	5
42	49	1
41	49	5
46	50	1
41	50	5
70	51	8
138	51	5
138	54	1
71	54	8
58	57	1
50	57	8
46	58	8
63	59	8
55	59	5
139	59	5
63	61	1
48	61	5
140	61	5
141	61	5
139	62	1
141	62	8
57	62	5
47	63	5
142	63	5
143	63	5
47	65	8
144	65	5
142	66	8
144	66	5
145	68	7
26	68	11
146	68	1
40	69	11
146	69	10
147	70	5
148	70	5
147	71	1
67	71	5
148	72	1
67	72	5
51	73	8
149	73	8
149	75	1
53	75	8
150	75	5
151	76	5
70	76	5
152	76	5
151	78	1
71	78	5
153	78	5
152	79	1
153	79	5
72	79	5
83	82	1
78	82	8
54	82	5
151	83	8
138	83	5
76	84	8
149	84	5
154	84	5
155	86	5
76	86	5
156	86	5
157	86	5
155	88	1
78	88	5
158	88	5
159	88	5
156	89	1
158	89	5
53	89	5
160	89	5
157	90	1
159	90	5
79	90	5
