From	To	Enzyme
1	4	1
2	4	1
3	4	1
5	1	1
6	1	1
7	1	1
8	9	2
10	11	3
12	11	2
13	11	4
14	11	4
15	16	3
17	16	2
11	16	2
18	16	4
19	20	3
21	20	2
22	20	2
23	24	3
25	24	2
26	24	2
27	24	4
28	29	3
30	29	2
24	29	2
31	29	2
32	33	3
34	33	2
35	33	2
36	33	4
37	33	4
38	39	3
40	39	4
41	39	4
42	39	2
43	39	2
6	2	1
44	2	1
7	3	1
44	3	1
45	5	1
46	5	1
45	6	1
47	6	1
46	7	1
47	7	1
48	8	4
49	10	2
50	10	4
51	10	4
49	12	3
52	12	4
53	12	4
54	12	4
50	13	3
52	13	2
55	13	4
51	14	3
54	14	2
55	14	4
56	15	2
10	15	2
57	15	4
56	17	3
12	17	2
58	17	4
59	17	4
57	18	3
58	18	2
13	18	2
60	19	2
61	19	2
60	21	3
62	21	2
63	21	4
61	22	3
62	22	2
64	22	4
65	23	2
66	23	2
67	23	4
65	25	3
68	25	2
69	25	4
70	25	4
66	26	3
68	26	2
71	26	4
72	26	4
67	27	3
70	27	2
71	27	2
73	28	2
23	28	2
74	28	2
73	30	3
25	30	2
75	30	2
76	30	4
74	31	3
75	31	2
26	31	2
77	31	4
78	32	2
79	32	2
80	32	4
81	32	4
78	34	3
82	34	2
83	34	4
84	34	4
85	34	4
79	35	3
82	35	2
86	35	4
87	35	4
88	35	4
80	36	3
84	36	2
86	36	2
89	36	4
81	37	3
85	37	2
87	37	2
89	37	4
90	38	4
91	38	4
92	38	2
93	38	2
90	40	3
94	40	4
95	40	2
96	40	2
91	41	3
94	41	4
97	41	2
98	41	2
92	42	3
99	42	4
95	42	4
97	42	4
100	42	2
93	43	3
96	43	4
98	43	4
101	43	4
100	43	2
47	44	1
102	45	1
102	46	1
102	47	1
4	48	5
103	49	4
104	49	4
105	49	4
103	50	2
106	50	4
105	51	2
106	51	4
103	52	3
107	52	4
108	52	4
104	53	3
107	53	4
109	53	4
105	54	3
108	54	4
109	54	4
106	55	3
108	55	2
49	56	2
110	56	4
111	56	4
110	57	2
50	57	2
110	58	3
52	58	2
112	58	4
111	59	3
53	59	2
112	59	4
113	60	2
114	60	4
113	61	2
115	61	4
113	62	3
116	62	4
117	62	4
114	63	3
116	63	2
118	64	6
115	64	3
117	64	2
119	65	2
120	65	4
121	65	4
119	66	2
122	66	4
123	66	4
121	67	2
122	67	2
119	68	3
124	68	4
125	68	4
126	68	4
120	69	3
124	69	2
127	69	4
121	70	3
125	70	2
127	70	4
122	71	3
125	71	2
128	71	4
129	72	6
123	72	3
126	72	2
128	72	4
65	73	2
130	73	2
131	73	4
130	74	2
66	74	2
132	74	4
130	75	3
68	75	2
133	75	4
134	75	4
131	76	3
69	76	2
133	76	2
135	77	6
132	77	3
134	77	2
72	77	2
136	78	2
137	78	4
138	78	4
139	78	4
136	79	2
140	79	4
141	79	4
142	79	4
138	80	2
140	80	2
143	80	4
139	81	2
141	81	2
143	81	4
136	82	3
144	82	4
145	82	4
146	82	4
12	82	4
137	83	3
144	83	2
147	83	4
148	83	4
138	84	3
145	84	2
147	84	4
149	84	4
139	85	3
146	85	2
148	85	4
149	85	4
140	86	3
145	86	2
150	86	4
151	86	4
141	87	3
146	87	2
150	87	4
152	87	4
142	88	3
12	88	2
151	88	4
152	88	4
143	89	3
149	89	2
150	89	2
153	90	4
154	90	2
155	90	2
153	91	4
156	91	2
157	91	2
158	92	4
154	92	4
156	92	4
159	92	2
155	93	4
157	93	4
160	93	4
159	93	2
153	94	3
161	94	2
162	94	2
154	95	3
163	95	4
161	95	4
164	95	2
155	96	3
162	96	4
165	96	4
164	96	2
156	97	3
166	97	4
161	97	4
167	97	2
157	98	3
162	98	4
168	98	4
167	98	2
158	99	3
163	99	4
166	99	4
169	99	2
159	100	3
169	100	4
164	100	4
167	100	4
170	100	4
160	101	3
165	101	4
168	101	4
170	101	2
171	103	4
172	103	4
171	104	4
173	104	4
172	105	4
173	105	4
172	106	2
171	107	3
174	107	4
172	108	3
174	108	4
173	109	3
174	109	4
103	110	2
175	110	4
104	111	2
175	111	4
175	112	3
107	112	2
176	113	4
177	113	4
176	114	2
178	115	6
177	115	2
176	116	3
179	116	4
180	117	6
177	117	3
179	117	4
178	118	3
180	118	2
181	119	4
182	119	4
183	119	4
181	120	2
184	120	4
182	121	2
184	121	4
182	122	2
185	122	4
186	123	6
183	123	2
185	123	4
181	124	3
187	124	4
188	124	4
182	125	3
187	125	4
189	125	4
190	126	6
183	126	3
188	126	4
189	126	4
184	127	3
187	127	2
191	128	6
185	128	3
189	128	2
186	129	3
190	129	2
191	129	4
119	130	2
192	130	4
193	130	4
120	131	2
192	131	2
194	132	6
193	132	2
123	132	2
192	133	3
124	133	2
195	133	4
196	134	6
193	134	3
126	134	2
195	134	4
194	135	3
196	135	2
129	135	2
197	136	4
198	136	4
199	136	4
49	136	4
197	137	2
200	137	4
201	137	4
198	138	2
200	138	4
202	138	4
199	139	2
201	139	4
202	139	4
198	140	2
203	140	4
204	140	4
199	141	2
203	141	4
205	141	4
49	142	2
204	142	4
205	142	4
202	143	2
203	143	2
197	144	3
206	144	4
207	144	4
52	144	4
198	145	3
206	145	4
208	145	4
53	145	4
199	146	3
207	146	4
208	146	4
54	146	4
200	147	3
206	147	2
209	147	4
201	148	3
207	148	2
209	148	4
202	149	3
208	149	2
209	149	4
203	150	3
208	150	2
210	150	4
204	151	3
53	151	2
210	151	4
205	152	3
54	152	2
210	152	4
211	153	2
212	153	2
213	154	4
211	154	4
214	154	2
212	155	4
215	155	4
214	155	2
216	156	4
211	156	4
217	156	2
212	157	4
218	157	4
217	157	2
213	158	4
216	158	4
219	158	2
219	159	4
214	159	4
217	159	4
220	159	4
215	160	4
218	160	4
220	160	2
211	161	3
221	161	4
222	161	2
212	162	3
223	162	4
222	162	2
213	163	3
221	163	4
224	163	2
214	164	3
224	164	4
222	164	4
225	164	4
215	165	3
223	165	4
225	165	2
216	166	3
221	166	4
226	166	2
217	167	3
226	167	4
222	167	4
227	167	4
218	168	3
223	168	4
227	168	2
219	169	3
224	169	4
226	169	4
228	169	4
220	170	3
228	170	4
225	170	4
227	170	4
229	171	4
229	172	4
229	173	4
230	174	7
231	174	8
229	174	3
171	175	2
232	176	4
233	177	6
232	177	4
233	178	2
234	179	6
232	179	3
233	180	3
234	180	4
235	181	4
236	181	4
235	182	4
237	182	4
238	183	6
236	183	4
237	183	4
235	184	2
239	185	6
237	185	2
238	186	2
239	186	4
235	187	3
231	187	4
240	188	6
236	188	3
231	188	4
241	189	6
